Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
3077,Betamethasone,HMDB0014586,9782,3077,C06848,NA,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
3089,NA,NA,NA,NA,NA,NA,NA,0
4885,Ethionamide,HMDB0014747,2761171,4885,C07665,NA,CCC1=NC=CC(=C1)C(N)=S,1
7573,Nilutamide,HMDB0014803,4493,7573,C08164,NA,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,1
8600,Prunetin,HMDB0034127,5281804,8600,C10521,NA,COC1=CC2=C(C(O)=C1)C(=O)C(=CO2)C1=CC=C(O)C=C1,1
8613,Psilocin,HMDB0042000,4980,8613,C08312,NA,CN(C)CCC1=CNC2=C1C(O)=CC=C2,1
5897,NA,NA,NA,NA,NA,NA,NA,0
8459,Promazine,HMDB0014564,4926,8459,C07379,NA,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,1
8461,Promethazine,HMDB0015202,4927,8461,C07404,NA,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,1
9622,Tolterodine,HMDB0015170,443879,9622,C07750,NA,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,1
9630,Tomatine,HMDB0034103,5513,9630,C10827,NA,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OCC(O)C(O)C4O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CN1,1
9635,Toremifene,HMDB0014679,3005573,9635,C08166,NA,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,1
9654,Trazodone,HMDB0014794,5533,9654,C07156,NA,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,1
9738,Trimipramine,HMDB0014864,5584,9738,NA,NA,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,1
2755,NA,NA,NA,NA,NA,NA,NA,0
4630,Diosmetin,HMDB0029676,5281612,4630,C10038,NA,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,1
5764,Hordenine,HMDB0004366,68313,5764,C06199,7055,CN(C)CCC1=CC=C(O)C=C1,1
5768,alpha-Humulene,HMDB0036467,5281520,5768,C09684,NA,C\C1=C/CC(C)(C)\C=C\C\C(C)=C\CC1,1
